user_id,subscription_type,monthly_revenue,country,age,gender,device,plan_duration,subscribed_duration,start_month,clv
1,Basic,10,United States,28,Male,Smartphone,1 Month,629,1,6290
2,Premium,15,Canada,35,Female,Tablet,1 Month,774,5,11610
3,Standard,12,United Kingdom,42,Male,Smart TV,1 Month,119,2,1428
4,Standard,12,Australia,51,Female,Laptop,1 Month,262,10,3144
5,Basic,10,Germany,33,Male,Smartphone,1 Month,174,1,1740
6,Premium,15,France,29,Female,Smart TV,1 Month,466,3,6990
7,Standard,12,Brazil,46,Male,Tablet,1 Month,651,9,7812
8,Basic,10,Mexico,39,Female,Laptop,1 Month,140,2,1400
9,Standard,12,Spain,37,Male,Smartphone,1 Month,246,10,2952
10,Premium,15,Italy,44,Female,Smart TV,1 Month,-9,7,-135
11,Basic,10,United States,31,Female,Smartphone,1 Month,402,5,4020
12,Premium,15,Canada,45,Male,Tablet,1 Month,97,3,1455
13,Standard,12,United Kingdom,48,Female,Laptop,1 Month,574,11,6888
14,Basic,10,Australia,27,Male,Smartphone,1 Month,534,1,5340
15,Standard,12,Germany,38,Female,Smart TV,1 Month,-69,9,-828
16,Premium,15,France,36,Male,Tablet,1 Month,358,7,5370
17,Basic,10,Brazil,30,Female,Laptop,1 Month,517,1,5170
18,Standard,12,Mexico,43,Male,Smartphone,1 Month,614,10,7368
19,Premium,15,Spain,32,Female,Smart TV,1 Month,128,2,1920
20,Basic,10,Italy,41,Male,Tablet,1 Month,26,5,260
21,Premium,15,United States,26,Female,Laptop,1 Month,-106,10,-1590
22,Basic,10,Canada,34,Male,Smartphone,1 Month,341,7,3410
23,Standard,12,United Kingdom,49,Female,Smart TV,1 Month,776,5,9312
24,Standard,12,Australia,31,Male,Tablet,1 Month,479,3,5748
25,Basic,10,Germany,40,Female,Laptop,1 Month,106,3,1060
26,Premium,15,France,29,Male,Smartphone,1 Month,208,12,3120
27,Basic,10,Brazil,47,Female,Smart TV,1 Month,300,8,3000
28,Standard,12,Mexico,33,Male,Tablet,1 Month,635,9,7620
29,Premium,15,Spain,36,Female,Laptop,1 Month,186,12,2790
30,Basic,10,Italy,42,Male,Smartphone,1 Month,36,5,360
31,Premium,15,United States,28,Female,Smart TV,1 Month,112,3,1680
32,Basic,10,Canada,37,Male,Tablet,1 Month,356,7,3560
33,Standard,12,United Kingdom,41,Female,Laptop,1 Month,522,1,6264
34,Standard,12,Australia,29,Male,Smartphone,1 Month,397,5,4764
35,Basic,10,Germany,39,Female,Smart TV,1 Month,-129,11,-1290
36,Premium,15,France,35,Male,Tablet,1 Month,540,1,8100
37,Basic,10,Brazil,45,Female,Laptop,1 Month,284,9,2840
38,Standard,12,Mexico,32,Male,Smartphone,1 Month,774,5,9288
39,Premium,15,Spain,27,Female,Smart TV,1 Month,177,12,2655
40,Basic,10,Italy,48,Male,Tablet,1 Month,-11,7,-110
41,Premium,15,United States,31,Female,Laptop,1 Month,153,1,2295
42,Basic,10,Canada,40,Male,Smartphone,1 Month,378,6,3780
43,Standard,12,United Kingdom,36,Female,Smart TV,1 Month,360,7,4320
44,Standard,12,Australia,29,Male,Tablet,1 Month,426,4,5112
45,Basic,10,Germany,43,Female,Laptop,1 Month,151,1,1510
46,Premium,15,France,34,Male,Smartphone,1 Month,489,2,7335
47,Basic,10,Brazil,39,Female,Smart TV,1 Month,411,5,4110
48,Standard,12,Mexico,32,Male,Tablet,1 Month,647,9,7764
49,Premium,15,Spain,28,Female,Laptop,1 Month,255,10,3825
50,Basic,10,Italy,45,Male,Smartphone,1 Month,136,2,1360
51,Premium,15,United States,30,Female,Smart TV,1 Month,115,2,1725
52,Basic,10,Canada,37,Male,Tablet,1 Month,303,8,3030
53,Standard,12,United Kingdom,41,Female,Laptop,1 Month,530,1,6360
54,Standard,12,Australia,29,Male,Smartphone,1 Month,361,6,4332
55,Basic,10,Germany,39,Female,Smart TV,1 Month,69,4,690
56,Premium,15,France,36,Male,Tablet,1 Month,469,3,7035
57,Basic,10,Brazil,46,Female,Laptop,1 Month,531,1,5310
